N_of_cams,cam_size,frame_rate,compressed_bit_rate,tiling/scaling,I_frame_freq,Tegra?,HiSilicon?,Ingest_(100MBps) ,Storage),Transmission_(currently_10G),Render_(GTX680_can_support_up_to_4x4k_at_30fps),,,,,,,,,,,,,,at,30fps)
16,4k,30,16x(50M),100,8,Yes?,Yes,,OK,OK,,,,,,,,,,,,,,,,
16,4k,30,16x(50M+??M),101,8,Yes?,Yes,,OK,OK,,,,,,,,,,,,,,,,
16,4k,30,16x(50M+4x???M),102,8,Yes?,Yes,,OK,OK,,,,,,,,,,,,,,,,
16,4k,30,16x(50M+16x????M),103,8,Yes?,No,,OK,OK,,,,,,,,,,,,,,,,
16,4k,30,16x(50M+20M),110,8,Yes?,Yes,,OK,OK,,,,,,,,,,,,,,,,
16,4k,30,16x(50M+20M+??M),111,8,Yes?,Yes,,OK,OK,,,,,,,,,,,,,,,,
16,4k,30,16x(50M+20M+4x???M),112,8,Yes?,No,,OK,OK,,,,,,,,,,,,,,,,
16,4k,30,16x(50M+20M+16x????M),113,8,Yes?,No,,OK,OK,,,,,,,,,,,,,,,,
16,4k,30,16x(50M+4x??M),120,8,Yes?,Yes,,OK,OK,,,,,,,,,,,,,,,,
16,4k,30,16x(50M+4x??M+??M),121,8,Yes?,No?,,OK,OK,,,,,,,,,,,,,,,,
16,4k,30,16x(50M+4x??M+4x???M),122,8,Yes?,No,,OK,OK,,,,,,,,,,,,,,,,
16,4k,30,16x(50M+4x??M+16x????M),123,8,Yes?,No,,OK,OK,,,,,,,,,,,,,,,,
16,4k,30,16x(50M+16x???M),130,8,Yes?,No,,OK,OK,,,,,,,,,,,,,,,,
16,4k,30,16x(50M+16x???M+??M),131,8,Yes?,No,,OK,OK,,,,,,,,,,,,,,,,
16,4k,30,16x(50M+16x???M+4x???M),132,8,Yes?,No,,OK,OK,,,,,,,,,,,,,,,,
16,4k,30,16x(50M+16x???M+16x????M),133,8,Yes?,Yes,,OK,OK,,,,,,,,,,,,,,,,
16,4k,30,16x(4x20M),200,8,Yes?,Yes,,OK,OK,,,,,,,,,,,,,,,,
16,4k,30,16x(4x20M+??M),201,8,Yes?,Yes,,OK,OK,,,,,,,,,,,,,,,,
16,5k,30,16x(4x20M+4x???M),202,8,Yes?,Yes,,OK,OK,,,,,,,,,,,,,,,,
16,5k,30,16x(4x20M+16x????M),203,8,Yes?,No,,OK,OK,,,,,,,,,,,,,,,,
16,5k,30,16x(4x20M+20M),210,8,Yes?,Yes,,OK,OK,,,,,,,,,,,,,,,,
16,5k,30,16x(4x20M+20M+??M),211,8,Yes?,Yes,,OK,OK,,,,,,,,,,,,,,,,
16,5k,30,16x(4x20M+20M+4x???M),212,8,Yes?,Yes,,OK,OK,,,,,,,,,,,,,,,,
16,5k,30,16x(4x20M+20M+16x????M),213,8,Yes?,Yes,,OK,OK,,,,,,,,,,,,,,,,
16,5k,30,16x(4x20M+4x??M),220,8,Yes?,Yes,,OK,OK,,,,,,,,,,,,,,,,
16,5k,30,16x(4x20M+4x??M+??M),221,8,Yes?,Yes,,OK,OK,,,,,,,,,,,,,,,,
16,5k,30,16x(4x20M+4x??M+4x???M),222,8,Yes?,Yes,,OK,OK,,,,,,,,,,,,,,,,
16,5k,30,16x(4x20M+4x??M+16x????M),223,8,Yes?,No,,OK,OK,,,,,,,,,,,,,,,,
16,5k,30,16x(4x20M+16x???M),230,8,Yes?,No,,OK,OK,,,,,,,,,,,,,,,,
16,5k,30,16x(4x20M+16x???M+??M),231,8,Yes?,No,,OK,OK,,,,,,,,,,,,,,,,
16,5k,30,16x(4x20M+16x???M+4x???M),232,8,Yes?,No,,OK,OK,,,,,,,,,,,,,,,,
16,5k,30,16x(4x20M+16x???M+16x????M),233,8,Yes?,No,,OK,OK,,,,,,,,,,,,,,,,
16,5k,30,16x(16x??M),300,8,Yes?,No,,OK,OK,,,,,,,,,,,,,,,,
16,6k,30,16x(16x??M+??M),301,8,Yes?,No,,OK,OK,,,,,,,,,,,,,,,,
16,6k,30,16x(16x??M+4x???M),302,8,Yes?,No,,OK,OK,,,,,,,,,,,,,,,,
16,6k,30,16x(16x??M+16x????M),303,8,Yes?,No,,OK,OK,,,,,,,,,,,,,,,,
16,6k,30,16x(16x??M+20M),310,8,Yes?,No,,OK,OK,,,,,,,,,,,,,,,,
16,6k,30,16x(16x??M+20M+??M),311,8,Yes?,No,,OK,OK,,,,,,,,,,,,,,,,
16,6k,30,16x(16x??M+20M+4x???M),312,8,Yes?,No,,OK,OK,,,,,,,,,,,,,,,,
16,6k,30,16x(16x??M+20M+16x????M),313,8,Yes?,No,,OK,OK,,,,,,,,,,,,,,,,
16,6k,30,16x(16x??M+4x??M),320,8,Yes?,No,,OK,OK,,,,,,,,,,,,,,,,
16,6k,30,16x(16x??M+4x??M+??M),321,8,Yes?,No,,OK,OK,,,,,,,,,,,,,,,,
16,6k,30,16x(16x??M+4x??M+4x???M),322,8,Yes?,No,,OK,OK,,,,,,,,,,,,,,,,
16,6k,30,16x(16x??M+4x??M+16x????M),323,8,Yes?,No,,OK,OK,,,,,,,,,,,,,,,,
16,6k,30,16x(16x??M+16x???M),330,8,Yes?,No,,OK,OK,,,,,,,,,,,,,,,,
16,6k,30,16x(16x??M+16x???M+??M),331,8,Yes?,No,,OK,OK,,,,,,,,,,,,,,,,
16,6k,30,16x(16x??M+16x???M+4x???M),332,8,Yes?,No,,OK,OK,,,,,,,,,,,,,,,,
16,6k,30,16x(16x??M+16x???M+4x????M),333,8,Yes?,No,,OK,OK,,,,,,,,,,,,,,,,
16,4k,30,16x,100,16,,,,OK,OK,,,,,,,,,,,,,,,,
16,4k,30,16x,101,16,,,,OK,OK,,,,,,,,,,,,,,,,
16,4k,30,16x,102,16,,,,OK,OK,,,,,,,,,,,,,,,,
16,4k,30,16x,103,16,,,,OK,OK,,,,,,,,,,,,,,,,
16,4k,30,16x,110,16,,,,OK,OK,,,,,,,,,,,,,,,,
16,4k,30,16x,111,16,,,,OK,OK,,,,,,,,,,,,,,,,
16,4k,30,16x,112,16,,,,OK,OK,,,,,,,,,,,,,,,,
16,4k,30,16x,113,16,,,,OK,OK,,,,,,,,,,,,,,,,
16,4k,30,16x,120,16,,,,OK,OK,,,,,,,,,,,,,,,,
16,4k,30,16x,121,16,,,,OK,OK,,,,,,,,,,,,,,,,
16,4k,30,16x,122,16,,,,OK,OK,,,,,,,,,,,,,,,,
